date,eq_bh,eq_ls,pv_bh,pv_ls,dd_bh,dd_ls,rollS,rollV,strat_ret,bh_ret
2020-01-02,1.0,1.0,20000.0,20000.0,0.0,0.0,,,0.0,0.0
2020-01-03,0.9906688141216727,1.0,19813.376282433455,20000.0,-0.009331185878327264,0.0,,,0.0,-0.009331185878327264
2020-01-06,0.9915514307598047,1.0,19831.028615196094,20000.0,-0.008448569240195325,0.0,,,0.0,0.0008909300722405034
2020-01-07,0.9859708400258993,1.0,19719.416800517985,20000.0,-0.014029159974100702,0.0,,,0.0,-0.005628140468345699
2020-01-08,1.0003081742194941,1.0,20006.163484389883,20000.0,0.0,0.0,,,0.0,0.014541336935702956
2020-01-09,1.017746266915277,1.0,20354.92533830554,20000.0,0.0,0.0,,,0.0,0.017432720380785877
2020-01-10,1.015556977803323,1.0,20311.13955606646,20000.0,-0.0021511148535965363,0.0,,,0.0,-0.0021511148535964995
2020-01-13,1.0303139494394185,1.0,20606.27898878837,20000.0,0.0,0.0,,,0.0,0.014530914521423632
2020-01-14,1.0229181696617664,1.0,20458.36339323533,20000.0,-0.007178180768760867,0.0,,,0.0,-0.007178180768760756
2020-01-15,1.0257261969991602,1.0,20514.523939983206,20000.0,-0.004452771354551022,0.0,,,0.0,0.0027451143411816314
2020-01-16,1.0401585067764352,1.0,20803.170135528704,20000.0,0.0,0.0,,,0.0,0.014070333603156163
2020-01-17,1.0498324176158855,1.0,20996.648352317712,20000.0,0.0,0.0,,,0.0,0.009300419865267381
2020-01-21,1.042129985742524,1.0,20842.59971485048,20000.0,-0.007336820376392494,0.0,,,0.0,-0.007336820376392383
2020-01-22,1.0417008723596581,1.0,20834.017447193164,20000.0,-0.007745565025219614,0.0,,,0.0,-0.0004117656998038714
2020-01-23,1.0500888267267496,1.0,21001.776534534994,20000.0,0.0,0.0,,,0.0,0.00805217177949665
2020-01-24,1.0391309820658077,1.0,20782.619641316152,20000.0,-0.010435159752245737,0.0,,,0.0,-0.010435159752245812
2020-01-27,1.0107328277387015,1.0,20214.656554774032,20000.0,-0.03747873321414663,0.0,,,0.0,-0.0273287533691375
2020-01-28,1.026372223608122,1.0,20527.444472162442,20000.0,-0.02258533041681343,0.0,,,0.0,0.015473323355302862
2020-01-29,1.0316088485343677,1.0,20632.176970687357,20000.0,-0.017598490453408777,0.0,,,0.0,0.005102071944072084
2020-01-30,1.037320813565507,1.0,20746.41627131014,20000.0,-0.012158983922381128,0.0,,,0.0,0.005536948465743152
2020-01-31,1.0128181145572963,0.998,20256.362291145928,19960.0,-0.03549291376200103,-0.0020000000000000018,-3.464101615137755,0.0069282032302755096,-0.002,-0.02362113888758229
2020-02-03,1.0248175503022057,1.010115589411188,20496.351006044115,20202.31178822376,-0.024065846413505287,0.0,2.8322957344207196,0.04296106099200459,0.012139869149486915,0.011847572207132506
2020-02-04,1.0567526140180887,1.0381373319134906,21135.052280361775,20762.74663826981,0.0,0.0,4.3857207224860595,0.10364816974473487,0.02774112467528278,0.03116170649738163
2020-02-05,1.055926513408094,1.0445263649103014,21118.530268161878,20890.527298206027,-0.0007817350996215389,0.0,5.057279234292569,0.10448776577952419,0.006154323518098083,-0.0007817350996215019
2020-02-06,1.0616734065107787,1.0445263649103014,21233.468130215573,20890.527298206027,0.0,0.0,5.057279234292569,0.10448776577952419,0.0,0.005442512362092515
2020-02-07,1.0576467421409375,1.0445263649103014,21152.934842818748,20890.527298206027,-0.003792752408742106,0.0,5.057279234292569,0.10448776577952419,0.0,-0.003792752408742217
2020-02-10,1.0730710057584802,1.0445263649103014,21461.420115169603,20890.527298206027,0.0,0.0,5.057279234292569,0.10448776577952419,0.0,0.01458356840992144
2020-02-11,1.062756208427091,1.0445263649103014,21255.12416854182,20890.527298206027,-0.009612408942219486,0.0,5.057279234292569,0.10448776577952419,0.0,-0.009612408942219522
2020-02-12,1.0759785126945403,1.0445263649103014,21519.570253890804,20890.527298206027,0.0,0.0,5.057279234292569,0.10448776577952419,0.0,0.012441521548030835
2020-02-13,1.0769899764704483,1.0445263649103014,21539.799529408963,20890.527298206027,0.0,0.0,5.057279234292569,0.10448776577952419,0.0,0.0009400408688227854
2020-02-14,1.0776884238097457,1.0424373121804809,21553.768476194913,20848.746243609618,0.0,-0.0019999999999998908,4.793963663538758,0.10522061565691197,-0.002,0.0006485179570439777
2020-02-18,1.074553207501419,1.0509257921072908,21491.064150028382,21018.515842145815,-0.002909204774830365,0.0,5.625668599047059,0.107034176434415,0.008142916439794813,-0.002909204774830402
2020-02-19,1.0834892384580546,1.0488239405230761,21669.78476916109,20976.47881046152,0.0,-0.0020000000000000018,5.362168369041928,0.10781809999286701,-0.002,0.008316043258029001
2020-02-20,1.0680983573034206,1.0359664409119425,21361.96714606841,20719.32881823885,-0.014204922954783705,-0.014234450527046416,3.6252008710228205,0.11889856566834796,-0.012258968463974338,-0.014204922954783669
2020-02-21,1.0438015671929408,1.0338945080301185,20876.031343858816,20677.890160602372,-0.036629502035105066,-0.016205981625992405,3.407213410566836,0.11946160535818738,-0.002,-0.022747708527350346
2020-02-24,1.0009621805776598,0.9977735435106689,20019.243611553196,19955.47087021338,-0.07616786115738572,-0.05057659541311876,-0.07010059519863317,0.17418401428413413,-0.03493679890830534,-0.041041696009795535
2020-02-25,0.9749567333177478,0.9718238049712178,19499.134666354956,19436.476099424355,-0.10016943527262212,-0.07526886077984596,-1.6544070681529417,0.1960231737577256,-0.026007643425929036,-0.025980449376123465
